"업체(시설)명","인허가번호","업종코드","업종명","지도점검일자","점검기관","점검기관명","지도점검구분","처분대상여부","점검사항","점검결과","소재지도로명주소","소재지주소"
"(주)애니프린팅","301000022200400033","22","폐수배출업소관리","20100415","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 25-10번지 (3층) "
"(주)조은피앤피","301000022200400053","22","폐수배출업소관리","20100415","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 24-6번지 (3층) "
"해브","301000022201000002","22","폐수배출업소관리","20100415","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 25-9번지 "
"한성출력","301000022199500957","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 29-1번지 "
"예지커뮤니케이션","301000022200001792","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 30-17번지 12층 "
"건영아트컴","301000022200400037","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 28-4번지 (3층) "
"진솔씨티피(주)","301000022200700014","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 43번지 충무로타워 지하1층 "
"(주)애드큐","301000022200700034","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 43번지 충무로타워2층 "
"금호기획인쇄","301000022200700045","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 24-5번지 (1층) "
"팝콘디지털프린팅","301000022200900035","22","폐수배출업소관리","20100416","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 30-5번지 "
"대성출력센타","301000022199500277","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 56-24번지 "
"충무알쓰리","301000022200001369","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 56-24번지 상강빌딩2층 "
"명성인쇄사","301000022200400022","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 49-4번지 (2층) "
"베스트프린팅","301000022200800015","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 56-22번지 "
"(주)빈야드","301000022200900008","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 56-22번지 "
"엘에스커뮤니케이션","301000022200900015","22","폐수배출업소관리","20100427","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로3가 56-5번지 청맥빌딩3층 "
"태양문화","301000022199500818","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 52-4번지 "
"클릭","301000022199701077","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 51-17번지 "
"정광프로세스","301000022200300015","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","서울특별시 중구 삼일대로8길 9 6층 (충무로2가)","서울특별시 중구 충무로2가 48-4번지 "
"동신인쇄","301000022200300123","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 49-21번지 "
"신영칼라","301000022200900012","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 48-4번지 제일빌딩5층 "
"(주)조은프린트","301000022200900018","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 48-10번지 2층 "
"디원","301000022200900028","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 저동2가 46-12번지 2층 "
"(주)이현상소","301000022200400068","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로2가 49-7번지 "
"칼라교정","301000022200400112","22","폐수배출업소관리","20100429","3010000","서울특별시 중구","정기","N","폐수보관및위탁처리적정여부","","","서울특별시 중구 충무로4가 131-6번지 (2층) "
"팬다콤프로세스","301000022199500962","22","폐수배출업소관리","20100422","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 57-1번지 2층 "
"팬다콤프로세스","301000022200400107","22","폐수배출업소관리","20100422","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 58-4번지 (2층) "
"승리문화사","301000022199500964","22","폐수배출업소관리","20100422","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 59-2번지 "
"신한피플","301000022200001547","22","폐수배출업소관리","20100422","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 59-14번지 "
"쌍용인쇄사","301000022200600050","22","폐수배출업소관리","20100422","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 59-11번지 (2층) "
"디지털일신","301000022199400322","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 60-1번지 "
"월드포토17분","301000022200001364","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 59-9번지 "
"해우토탈콤","301000022200001515","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 58-5번지 외67호 "
"주식회사 삼현","301000022200001845","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 60-1번지 "
"(주)씨엠와이피앤피","301000022200400003","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 58-7번지 (2층) "
"(주)색채원프로세스","301000022200700009","22","폐수배출업소관리","20100423","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로3가 59-6번지 (2층) "
"케이포스트","301000022200001359","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로2가 50-5번지 "
"(주)포토랜드","301000022200001368","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로2가 51-7번지 국제빌딩별관 "
"원플러스","301000022200001795","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로2가 50-1번지 (301호) "
"창성탑컴","301000022200300106","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 충무로2가 49-7번지 (3층) "
"동서","301000022200600033","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","","서울특별시 중구 필동2가 7-3번지 303호 "
"(주)도트애드","301000022200900014","22","폐수배출업소관리","20100430","3010000","서울특별시 중구","정기","N","폐수보관및 위탁처리 적정여부","","서울특별시 중구 필동로 53 202호 (필동3가 삼경빌딩)","서울특별시 중구 필동3가 62-11번지 202호 "
